pwd,"Prints path of working directry from root."
ls,"Used to list files or other directories in the current working directory."
cd,"Used to change the current working directory, stands for change directory."
mkdir,"Allows the user to create directories (one or more)."
rmdir,"Allows the removal of empty directories."
rm,"The remove command; Used to remove files, directories, symbolic links etc. from the file system."
cp,"The copy command; Used to copy directories, files, or file groups."
mv,"The move command; Used to move directories, files, or file groups within a file system."
ssh,"Allows secure connection to a remote system or server."
scp,"Allows for files to be securely copied between servers."
man,"Displays the user manual for any terminal command."
g++,"Used for preprocessing, compilation, assembly and linking of source code to generate an executable file."
gcc,"GNU Compiler Collections is used to compile mainly C and C++ language, but can also be used to compile Objective C and Objective C++."
make,"Determines which parts of a large program need to be re-compiled, and then issues the commands necessary to recompile them."
ps,"Used to list the currently running processes and their PIDs along with some other information depends on different options."
kill,"Manually terminates processes; This command sends a signal to a process which terminates the process."
top,"Provides a dynamic real-time view of the running system."
who,"Shows who is logged on and what they are doing."
chmod,"	Used to change the access mode of a file."
cat,"Reads data from file and gives their content as output. Helps to create, view, concatenate files."
alias,"Instructs the shell to replace one string with another string while executing the commands."
chown,"Change owner command, used to change the file Owner or group."
df,"Used to display information related to file systems about total space and available space."
grep,"Searches a file for a particular pattern of characters, and displays all lines that contain that pattern."
echo,"Used to display line of text/string that are passed as an argument."
exit,"Used to exit the shell where it is currently running."
clear,"Used to clear the terminal screen."
find,"Used to find files and directories and perform subsequent operations on them."
finger,"It is a user information lookup command which gives details of all the users logged in."
free,"Displays the total amount of free space available along with the amount of memory used and swap memory in the system, and also the buffers used by the kernel."
